City,Slum_HH,PMAY.PMAY_HH,Surplus,Latitude,Longitude
Nawabganj,1113,4040,2927,28.5405365,79.6305599
Gangapur,218,3145,2927,26.4833211,76.73400939999999
Pattamundai,675,3582,2907,20.5854927,86.5661006
Satna,4716,7599,2883,24.6005075,80.8322428
Badvel,10635,13516,2881,14.7304949,79.05974049999999
Manwath,445,3326,2881,19.3060901,76.49679189999999
Bobbili,11932,14802,2870,18.5727886,83.356381
Kabrai,310,3174,2864,25.3984963,80.0031833
Moradabad,21477,24326,2849,28.8386481,78.7733286
Purnia,9106,11945,2839,25.7771391,87.4752551
Mahnar,2777,5581,2804,25.6100369,85.494145
Mahoba,1624,4410,2786,25.2945119,79.8858951
Saharanpur,12308,15091,2783,29.9680035,77.55520659999999
Kannur,278,3049,2771,11.8704703,75.367882
Tadpatri,7085,9829,2744,14.8732788,78.0024134
Erode,7838,10579,2741,11.3410364,77.7171642
Radhanpur,579,3312,2733,23.8286354,71.6139348
Dibai,1023,3736,2713,28.2090551,78.2561578
Gondal,385,3096,2711,21.9611708,70.7938777
Mhowgaon,1366,4059,2693,22.578061,75.73133419999999
Kaptanganj,195,2886,2691,26.9270041,83.7137223
Ahraura,1549,4235,2686,25.0163028,83.0159192
Madhepura,884,3569,2685,25.9239677,86.7946387
Namakkal,835,3488,2653,11.2193848,78.16784179999999
Anand,2448,5075,2627,22.5645175,72.928871
Dhenkanal,1981,4585,2604,20.6584466,85.5964935
Bardoli,150,2754,2604,21.1255374,73.1122499
Sonpeth,257,2854,2597,19.0278602,76.4742981
Ramachandrapuram,7206,9784,2578,16.8324466,82.03475879999999
Chincholi,762,3315,2553,17.4610238,77.4192758
Laharpur,786,3334,2548,27.710096,80.901416
Nagercoil,2804,5341,2537,8.1839247,77.41184109999999
Ramanagara,1451,3978,2527,12.7208614,77.27989629999999
Kamalpur,417,2943,2526,24.1976596,91.83487590000001
Ballia,1682,4204,2522,28.2006882,79.3651914
Deesa,1640,4135,2495,24.2585055,72.1906739
Waraseoni,754,3235,2481,21.7654015,80.0590804
Dumka,698,3179,2481,24.2684794,87.24880879999999
Shahdol,1717,4169,2452,23.300232,81.3568619
Baduria,3444,5894,2450,22.7286274,88.8022842
Mathabhanga,60,2483,2423,26.3427291,89.21533629999999
Nichlaul,245,2650,2405,27.3091732,83.7252266
Lal,578,2976,2398,25.652762,81.6199484
New,5025,7401,2376,30.0574818,80.59384899999999
Rampurhat,4253,6609,2356,24.1744845,87.7793421
Babarpur,233,2583,2350,28.6849266,77.2824253
Jhanjharpur,1124,3454,2330,26.26197,86.27691659999999
Hariharpur,979,3280,2301,26.6643802,83.0025643
Singahi,687,2983,2296,28.1209339,81.07684549999999
Lar,91,2360,2269,26.2046498,83.96913459999999
Maihar,1485,3753,2268,24.2657817,80.7624352
Amethi,195,2460,2265,26.1540538,81.814238
Kalimpong,608,2868,2260,27.0593562,88.46945350000001
Reoti,163,2403,2240,25.8466088,84.37830489999999
Dhone,9783,12019,2236,15.3960427,77.8732414
Sheohar,2334,4557,2223,26.5145872,85.29423129999999
Sitarganj,958,3178,2220,28.9235479,79.70072110000001
Chithode,338,2556,2218,11.3995817,77.663761
Poonamallee,1156,3358,2202,13.0472609,80.09453069999999
Nanpara,144,2319,2175,27.8674709,81.4992884
Kalghatgi,445,2615,2170,15.1796811,74.96951349999999
Gadag-Betigeri,7690,9854,2164,15.4272556,75.6361753
Rajam,6273,8413,2140,18.4497303,83.66077399999999
Basavakalyan,2451,4562,2111,17.8721032,76.94702199999999
Kailasahar,2413,4515,2102,24.3268117,92.0126276
Nedumangad,962,3055,2093,8.6080226,77.004626
Ranibennur,875,2968,2093,14.617883,75.6302226
Mihijam,510,2600,2090,23.8472995,86.8824997
Nagda,2719,4807,2088,23.4561435,75.42266649999999
Takhatpur,1627,3711,2084,22.1316095,81.868437
Phaltan,318,2392,2074,17.9902457,74.4345441
Latehar,282,2351,2069,23.7463215,84.5091102
Bansdih,269,2336,2067,25.88233,84.21789439999999
Bharatganj,510,2575,2065,25.1164062,82.2732663
Maunath,7597,9659,2062,25.9462838,83.5610119
Baghpat,826,2886,2060,28.9427827,77.22760699999999
Dandeli,1777,3836,2059,15.2361191,74.6172819
Puranpur,523,2581,2058,28.5129459,80.1477341
Dalkhola,3974,6029,2055,25.8754466,87.84358879999999
Anekal,2210,4259,2049,12.7090575,77.6992265
Dera,1018,3063,2045,26.5613537,79.358524
Basmath,917,2942,2025,19.3301963,77.1589479
Naraura,686,2690,2004,28.196777,78.3813785
Wokha,1833,3833,2000,26.1023895,94.2522438
Bhusawal,3258,5253,1995,21.0417707,75.7875517
Sindgi,1381,3359,1978,16.9159931,76.2302681
Sriperumbudur,781,2756,1975,12.9624975,79.94527479999999
Sahatwar,540,2506,1966,25.8383497,84.30423329999999
Dhubri,3733,5695,1962,26.0206982,89.9743463
Bhimavaram,13918,15878,1960,16.544893,81.521241
Mahmudabad,2000,3959,1959,27.2967145,81.1251235
Neyyattinkara,879,2821,1942,8.4026673,77.0860939
Jajapur,1219,3153,1934,20.8341019,86.3326058
Shahabad,2776,4709,1933,30.1557114,76.8697232
Powayan,61,1974,1913,28.0679273,80.09679059999999
Jetpur,1025,2933,1908,21.7546665,70.6179777
Loha,137,2045,1908,18.9473865,77.1154368
Sultanganj,102,1998,1896,25.2401294,86.7404395
Pathri,2032,3921,1889,19.26324,76.4302771
Jhalod,321,2204,1883,23.0981684,74.1643497
Chandia,444,2321,1877,23.6444283,80.70480839999999
Kudchi,806,2670,1864,16.624827,74.8510482
Chatra,1088,2947,1859,24.206475,84.8718433
Khairabad,499,2352,1853,27.5284275,80.7491563
Ramkola,125,1968,1843,26.9046557,83.8526036
